site,imt,return_period,family,axis,row,iml_ref,iml,rel_pct
antofagasta,PGA,475,interface,MFD: tapered,tapered,1.3902837109955062,1.420954717564107,2.2060969517249784
antofagasta,PGA,475,interface,full 16-branch tree,tree,1.3902837109955062,1.4184787890599797,2.0280089482084707
antofagasta,PGA,475,interface,rupture scaling: Allen & Hayes,msr_ah,1.3902837109955062,1.3829732391174612,-0.5258259030317181
antofagasta,PGA,475,interface,rupture aspect ratio 1.5 / 2 / 3,asp15,1.3902837109955062,1.4125396812763622,1.6008221994429972
antofagasta,PGA,475,interface,rupture aspect ratio 1.5 / 2 / 3,asp20,1.3902837109955062,1.4308747736344598,2.9196244131989957
antofagasta,PGA,475,interface,rupture aspect ratio 1.5 / 2 / 3,asp30,1.3902837109955062,1.467580344579316,5.559774093049108
antofagasta,PGA,475,interface,GMM (single vs tree),gmm_ag,1.3902837109955062,1.2816120215100317,-7.816511739726895
antofagasta,PGA,475,interface,GMM (single vs tree),gmm_pk,1.3902837109955062,1.2894099121124687,-7.25562689724727
antofagasta,PGA,475,interface,GMM (single vs tree),gmm_ku,1.3902837109955062,1.597145427132329,14.879100898672014
antofagasta,PGA,475,intraslab,class domain cut at 50 km,classmask,1.3902837109955062,1.4026095771970086,0.8865720071392191
antofagasta,PGA,475,intraslab,declustering,dc_gk74sym,1.3902837109955062,1.4162105040174766,1.8648562747962893
antofagasta,PGA,475,intraslab,declustering,dc_gruenthal,1.3902837109955062,1.416515191862749,1.8867717905189263
antofagasta,PGA,475,intraslab,no declustering (full catalog),raw,1.3902837109955062,1.3519472451927765,-2.757456301870864
antofagasta,PGA,475,intraslab,classification tolerance -5 / +5 km,cls_m5,1.3902837109955062,1.4290097600209113,2.7854781523459993
antofagasta,PGA,475,intraslab,classification tolerance -5 / +5 km,cls_p5,1.3902837109955062,1.3215400391077672,-4.944578674414258
antofagasta,PGA,475,intraslab,default-depth events to interface,cls_fix,1.3902837109955062,1.3995521923270462,0.666661146803138
antofagasta,PGA,475,intraslab,"completeness table, ends of the ensemble",mc_lo,1.3902837109955062,1.3600150613029862,-2.1771563209099454
antofagasta,PGA,475,intraslab,"completeness table, ends of the ensemble",mc_hi,1.3902837109955062,1.4177236071510972,1.9736904013600842
antofagasta,PGA,475,intraslab,slab_deep b: floor 5.7 / 6.0,sd_fit57,1.3902837109955062,1.3793549658707374,-0.7860802107034215
antofagasta,PGA,475,intraslab,slab_deep b: floor 5.7 / 6.0,sd_fit60,1.3902837109955062,1.4044407077535797,1.0182811354336074
antofagasta,PGA,475,intraslab,intra_slab b: floor 5.5 / 5.8,is_fit55,1.3902837109955062,1.3892276683877998,-0.07595878448077853
antofagasta,PGA,475,intraslab,intra_slab b: floor 5.5 / 5.8,is_fit58,1.3902837109955062,1.3914708744704227,0.08539001539955571
antofagasta,PGA,475,intraslab,Mmax pad 0 / 0.4,pad0,1.3902837109955062,1.3620426172657438,-2.031318752166089
antofagasta,PGA,475,intraslab,Mmax pad 0 / 0.4,pad04,1.3902837109955062,1.4161327592264723,1.8592642657416336
antofagasta,PGA,475,intraslab,"depths by slab-top regime, not thickness fraction",regime,1.3902837109955062,1.3937764883817572,0.25122767091545484
antofagasta,PGA,475,intraslab,"previous geometry: top + 7.5 km, depth-rule band",band_rule,1.3902837109955062,1.4324726689394633,3.034557451136921
antofagasta,PGA,475,intraslab,smoothing neighbours 10 / 50,nn10,1.3902837109955062,1.3745276297587026,-1.1332997079798623
antofagasta,PGA,475,intraslab,smoothing neighbours 10 / 50,nn50,1.3902837109955062,1.3958016254961634,0.39689125730359986
antofagasta,PGA,475,intraslab,pattern from all complete events / + calibrated kernel,smooth_all,1.3902837109955062,1.3902837227855633,8.480324664716932e-07
antofagasta,PGA,475,intraslab,pattern from all complete events / + calibrated kernel,smooth_cv,1.3902837109955062,1.36104607895312,-2.1029975256957267
antofagasta,PGA,475,intraslab,kernel gaussian / cut-off 200 km,gauss,1.3902837109955062,1.38555789743689,-0.3399172069154299
antofagasta,PGA,475,intraslab,kernel gaussian / cut-off 200 km,dmax200,1.3902837109955062,1.4027827549443392,0.8990282954464801
antofagasta,PGA,475,intraslab,rupture scaling: Allen & Hayes,msr_ah,1.3902837109955062,1.3669236865262084,-1.6802343496185368
antofagasta,PGA,475,intraslab,rupture aspect ratio 2,asp20,1.3902837109955062,1.394933406826567,0.33444222889811304
antofagasta,PGA,475,intraslab,rupture dip 45 / 90,dip45,1.3902837109955062,1.3770946274319769,-0.948661302669318
antofagasta,PGA,475,intraslab,rupture dip 45 / 90,dip90,1.3902837109955062,1.4081073414854093,1.2820139047116097
antofagasta,PGA,475,intraslab,sources from M5.5,mmin55,1.3902837109955062,1.3902836760768917,-2.511617891443052e-06
antofagasta,PGA,475,intraslab,GMM (single vs tree),gmm_ag,1.3902837109955062,1.3098513985053937,-5.785316468429258
antofagasta,PGA,475,intraslab,GMM (single vs tree),gmm_pk,1.3902837109955062,1.5734649213914993,13.175815047478846
antofagasta,PGA,475,intraslab,GMM (single vs tree),gmm_mv,1.3902837109955062,1.280517106367036,-7.89526653878958
antofagasta,PGA,475,crustal,faults vs no faults,nofaults,1.3902837109955062,1.3909632538112735,0.048877995936580376
antofagasta,PGA,475,crustal,buffer margin 0 / 20 km,margin0,1.3902837109955062,1.3909307131097162,0.046537416003156196
antofagasta,PGA,475,crustal,buffer margin 0 / 20 km,margin20,1.3902837109955062,1.3899431244441216,-0.024497629418440692
antofagasta,PGA,475,crustal,cap and fault Mmin 6.5,cap65,1.3902837109955062,1.3904291510153755,0.010461175565756875
antofagasta,PGA,475,crustal,declustering,dc_gruenthal,1.3902837109955062,1.390255709853426,-0.0020140595663131755
antofagasta,PGA,475,crustal,no declustering (full catalog),raw,1.3902837109955062,1.3902261060901777,-0.0041433920913269695
antofagasta,PGA,475,crustal,classification tolerance -5 / +5 km,cls_m5,1.3902837109955062,1.3903130038603075,0.0021069702945908375
antofagasta,PGA,475,crustal,classification tolerance -5 / +5 km,cls_p5,1.3902837109955062,1.3901905648593509,-0.00669979338883131
antofagasta,PGA,475,crustal,default-depth events to interface,cls_fix,1.3902837109955062,1.3902190630433453,-0.004649982708537781
antofagasta,PGA,475,crustal,background Mmax 7.5,mmax75,1.3902837109955062,1.3903779939629064,0.0067815631194179105
antofagasta,PGA,475,crustal,GMM (single vs tree),gmm_ask,1.3902837109955062,1.39013028468436,-0.01103561164766953
antofagasta,PGA,475,crustal,GMM (single vs tree),gmm_bssa,1.3902837109955062,1.3906998906880492,0.029934875108694747
antofagasta,PGA,475,crustal,GMM (single vs tree),gmm_cb,1.3902837109955062,1.3903809650017733,0.0069952633047432045
