site,imt,return_period,family,axis,iml_ref,lo,hi,row_lo,row_hi,range
antofagasta,PGA,2475,interface,b: fit floor 5.4 / 6.0,2.6631934009843268,-5.500770169572178,3.5353966808064907,fit54,fit60,9.036166850378669
antofagasta,PGA,2475,interface,MMIN_HAZ 6.5,2.6631934009843268,0.0,0.08073839724600518,mmin65,mmin65,0.08073839724600518
antofagasta,PGA,2475,interface,geometry: segmented,2.6631934009843268,-16.776328077477043,0.0,seg,seg,16.776328077477043
antofagasta,PGA,2475,interface,rate: geodetic (mid),2.6631934009843268,0.0,1.649822845528881,geo,geo,1.649822845528881
antofagasta,PGA,2475,interface,MFD: tapered,2.6631934009843268,0.0,2.074335531085292,tapered,tapered,2.074335531085292
antofagasta,PGA,2475,interface,full 16-branch tree,2.6631934009843268,-0.9182729684211521,0.0,tree,tree,0.9182729684211521
antofagasta,PGA,2475,interface,rupture scaling: Allen & Hayes,2.6631934009843268,-0.6753448041806998,0.0,msr_ah,msr_ah,0.6753448041806998
antofagasta,PGA,2475,interface,rupture aspect ratio 1.5 / 2 / 3,2.6631934009843268,0.0,4.651102538326146,asp15,asp30,4.651102538326146
antofagasta,PGA,2475,interface,GMM (single vs tree),2.6631934009843268,-9.328087043505306,0.0,gmm_ag,gmm_pk,9.328087043505306
antofagasta,PGA,2475,intraslab,class domain cut at 50 km,2.6631934009843268,0.0,0.5821452610108135,classmask,classmask,0.5821452610108135
antofagasta,PGA,2475,intraslab,declustering,2.6631934009843268,0.0,1.6346845008816446,dc_gruenthal,dc_gk74sym,1.6346845008816446
antofagasta,PGA,2475,intraslab,no declustering (full catalog),2.6631934009843268,-2.382655223718866,0.0,raw,raw,2.382655223718866
antofagasta,PGA,2475,intraslab,classification tolerance -5 / +5 km,2.6631934009843268,-3.6174203037900865,2.019027404925766,cls_p5,cls_m5,5.636447708715853
antofagasta,PGA,2475,intraslab,default-depth events to interface,2.6631934009843268,0.0,0.5537399444680569,cls_fix,cls_fix,0.5537399444680569
antofagasta,PGA,2475,intraslab,"completeness table, ends of the ensemble",2.6631934009843268,-1.5826571494390929,1.7206181140650978,mc_lo,mc_hi,3.3032752635041907
antofagasta,PGA,2475,intraslab,slab_deep b: floor 5.7 / 6.0,2.6631934009843268,-0.6380018202107096,0.8686714244802385,sd_fit57,sd_fit60,1.506673244690948
antofagasta,PGA,2475,intraslab,intra_slab b: floor 5.5 / 5.8,2.6631934009843268,-0.3508690672819337,0.3374715587704413,is_fit55,is_fit58,0.688340626052375
antofagasta,PGA,2475,intraslab,Mmax pad 0 / 0.4,2.6631934009843268,-2.1795383589514494,2.1647295363164787,pad0,pad04,4.344267895267928
antofagasta,PGA,2475,intraslab,"depths by slab-top regime, not thickness fraction",2.6631934009843268,-0.08884483302139534,0.0,regime,regime,0.08884483302139534
antofagasta,PGA,2475,intraslab,"previous geometry: top + 7.5 km, depth-rule band",2.6631934009843268,0.0,0.01904614073127142,band_rule,band_rule,0.01904614073127142
antofagasta,PGA,2475,intraslab,smoothing neighbours 10 / 50,2.6631934009843268,-0.8992194963622357,0.3365220443033001,nn10,nn50,1.2357415406655359
antofagasta,PGA,2475,intraslab,pattern from all complete events / + calibrated kernel,2.6631934009843268,-1.639601012935532,0.0,smooth_cv,smooth_all,1.639601012935532
antofagasta,PGA,2475,intraslab,kernel gaussian / cut-off 200 km,2.6631934009843268,-0.31390400710488153,0.6431410083847178,gauss,dmax200,0.9570450154895993
antofagasta,PGA,2475,intraslab,rupture scaling: Allen & Hayes,2.6631934009843268,-1.7321926376338115,0.0,msr_ah,msr_ah,1.7321926376338115
antofagasta,PGA,2475,intraslab,rupture aspect ratio 2,2.6631934009843268,-0.15197561876929555,0.0,asp20,asp20,0.15197561876929555
antofagasta,PGA,2475,intraslab,rupture dip 45 / 90,2.6631934009843268,-1.2614270209378442,1.3087803930380115,dip45,dip90,2.5702074139758557
antofagasta,PGA,2475,intraslab,sources from M5.5,2.6631934009843268,0.0,3.1894063612369905e-06,mmin55,mmin55,3.1894063612369905e-06
antofagasta,PGA,2475,intraslab,GMM (single vs tree),2.6631934009843268,-9.003692653633754,0.0,gmm_mv,gmm_ag,9.003692653633754
antofagasta,PGA,2475,crustal,faults vs no faults,2.6631934009843268,0.0,0.003936756701650168,nofaults,nofaults,0.003936756701650168
