ogc_fid,id_sys,id_flt,id_seg,name,dips,dip,dip_dir,slip_rates,slip_rate,rup_type,downt_side,len_st,upp_sd,low_sd,az_tr,id_area,usd,lsd,min_mag,max_mag,a_val,b_val,length_km
95,,CL-006ll,CL-006k,Falla Troyo 006k,"90.",87.000000000000000,VERTICAL,1.0-5.0,3.000000000000000,dextral,None,11.280195311914447,0.000000000000000,20.000000000000000,14.094772040198336,"566",0.000000000000000,35.000000000000000,4.500000000000000,7.750000000000000,4.178202342190000,0.834489436976000,11
96,,CL-006s,CL-006b,Falla Malalcahuello 006b,"90.",87.000000000000000,E,1.0-5.0,3.000000000000000,dextral,None,66.773433925919889,0.000000000000000,20.000000000000000,356.759517848510711,"566",0.000000000000000,35.000000000000000,4.500000000000000,7.750000000000000,4.178202342190000,0.834489436976000,67
97,,CL-006s,CL-006a,Falla Malalcahuello 006a,"90.",87.000000000000000,E,1.0-5.0,3.000000000000000,dextral,None,30.878071825803069,0.000000000000000,20.000000000000000,13.053394192027611,"566",0.000000000000000,35.000000000000000,4.500000000000000,7.750000000000000,4.178202342190000,0.834489436976000,31
98,,CL-006p,CL-006f,Falla Lomin 006f,"90.",87.000000000000000,VERTICAL,1.0-5.0,3.000000000000000,dextral,None,23.600642693587723,0.000000000000000,20.000000000000000,47.796687874149825,"566",0.000000000000000,35.000000000000000,4.500000000000000,7.750000000000000,4.178202342190000,0.834489436976000,24
99,,CL-006ll,CL-006n,Falla Troyo 006n,"90.",87.000000000000000,E,1.0-5.0,3.000000000000000,dextral,None,38.257638739638423,0.000000000000000,20.000000000000000,8.728794205880604,"566",0.000000000000000,35.000000000000000,4.500000000000000,7.750000000000000,4.178202342190000,0.834489436976000,38
100,,CL-009,CL-009,Falla Tolhuaca Pemehue,"90.",87.000000000000000,S,0.1-1,0.500000000000000,sinistral-reverse,None,35.207311428358906,0.000000000000000,20.000000000000000,144.244691906129134,"566",0.000000000000000,35.000000000000000,4.500000000000000,7.750000000000000,4.178202342190000,0.834489436976000,35
101,,CL-014,CL-014,Falla Sollipulli-Icalma,"90.",87.000000000000000,SE,0.1-1,0.500000000000000,dextral-normal,None,51.720500037849064,0.000000000000000,20.000000000000000,56.503327191136520,"566",0.000000000000000,35.000000000000000,4.500000000000000,7.750000000000000,4.178202342190000,0.834489436976000,52
102,,CL-023,CL-023a,Falla Pullehue-Cordon Caulle 023a,"90.",87.000000000000000,S,0.1-1,0.500000000000000,sinistral-reverse,None,33.970478728617813,0.000000000000000,20.000000000000000,132.586816098749011,"566",0.000000000000000,35.000000000000000,4.500000000000000,7.750000000000000,4.178202342190000,0.834489436976000,34
103,,CL-023,CL-023c,Falla Pullehue-Cordon Caulle 023c,"90.",87.000000000000000,S,0.1-1,0.500000000000000,sinistral-reverse,None,14.887239445851844,0.000000000000000,20.000000000000000,128.405896595843160,"566",0.000000000000000,35.000000000000000,4.500000000000000,7.750000000000000,4.178202342190000,0.834489436976000,15
104,,CL-016,CL-016,Falla Villarrica-Quetrupillan-Lanin,"90",87.000000000000000,N,0.1-1,0.500000000000000,sinistral-reverse,None,62.883761519984922,0.000000000000000,20.000000000000000,300.780846632480518,"566",0.000000000000000,35.000000000000000,4.500000000000000,7.750000000000000,4.178202342190000,0.834489436976000,63
105,,CL-005,CL-005,Falla Callaqui,"90.",87.000000000000000,VERTICAL,0.1-1,0.500000000000000,dextral-normal,None,42.637646282091438,0.000000000000000,20.000000000000000,66.894848525107477,"566",0.000000000000000,35.000000000000000,4.500000000000000,7.750000000000000,4.178202342190000,0.834489436976000,43
106,,CL-006r,CL-006aa,Falla Maihue-Anticura 006aa,"90.",87.000000000000000,E,1.0-5.0,3.000000000000000,dextral,None,13.486734330148538,0.000000000000000,20.000000000000000,6.737491211522638,"566",0.000000000000000,35.000000000000000,4.500000000000000,7.750000000000000,4.178202342190000,0.834489436976000,13
107,,CL-022,CL-022,Falla Futrono,"90.",87.000000000000000,VERTICAL,0.1-1,0.500000000000000,sinistral-reverse,None,39.324371888561913,0.000000000000000,20.000000000000000,318.274606926191495,"566",0.000000000000000,35.000000000000000,4.500000000000000,7.750000000000000,4.178202342190000,0.834489436976000,39
108,,CL-011,CL-011,Falla Las Raices,"90.",87.000000000000000,VERTICAL,0.1-1,0.500000000000000,dextral-normal,None,22.415989514742339,0.000000000000000,20.000000000000000,53.174077117085005,"566",0.000000000000000,35.000000000000000,4.500000000000000,7.750000000000000,4.178202342190000,0.834489436976000,22
109,,CL-056,CL-056b,"Falla Lago Fagnano, sección occidental","90.",87.000000000000000,N,1-5,3.000000000000000,sinistral-normal,None,223.745037457323406,0.000000000000000,20.000000000000000,304.551987814714550,None,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,224
110,,CL-056,CL-056c,"Falla Lago Fagnano, sección occidental","90.",87.000000000000000,N,1-5,3.000000000000000,sinistral-normal,None,84.637889203077236,0.000000000000000,20.000000000000000,284.750440990944753,None,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,85
111,,CL-056,CL-056d,"Falla Lago Fagnano, sección occidental","90.",87.000000000000000,S,1-5,3.000000000000000,sinistral-normal,None,44.165031764459741,0.000000000000000,20.000000000000000,104.340536148020021,None,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,44
112,,CL-056,CL-056e,"Falla Lago Fagnano, sección occidental","90.",87.000000000000000,N,1-5,3.000000000000000,sinistral-normal,None,38.453043121386827,0.000000000000000,20.000000000000000,286.705664303119988,None,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,39
113,,CL-056,CL-056f,"Falla Lago Fagnano, sección occidental","90.",87.000000000000000,S,1-5,3.000000000000000,sinistral-normal,None,26.300381090605178,0.000000000000000,20.000000000000000,138.367015217078745,None,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,26
114,,CL-056,CL-056g,"Falla Lago Fagnano, sección occidental","90.",87.000000000000000,N,1-5,3.000000000000000,sinistral-normal,None,27.144970083287298,0.000000000000000,20.000000000000000,305.990934425461944,None,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,27
115,,CL-056,CL-056h,"Falla Lago Fagnano, sección occidental","90.",87.000000000000000,N,1-5,3.000000000000000,sinistral-normal,None,14.506275028567364,0.000000000000000,20.000000000000000,241.035327739593185,None,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,15
116,,CL-056,CL-056i,"Falla Lago Fagnano, sección occidental","90.",87.000000000000000,VERTICAL,1-5,3.000000000000000,sinistral-normal,None,25.357479743283282,0.000000000000000,20.000000000000000,110.951494044471360,None,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,25
117,,CL-056,CL-056j,"Falla Lago Fagnano, sección occidental","90.",87.000000000000000,N,1-5,3.000000000000000,sinistral-normal,None,16.952448303587126,0.000000000000000,20.000000000000000,268.161772250477611,None,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,17
118,,AR-0002,AR-0002a,Sistema de fallas Aconquija,>60,72.000000000000000,SE,0.1-1.0,0.500000000000000,reverse,None,61.131325716798685,0.000000000000000,20.000000000000000,30.597166366525698,"53",0.000000000000000,39.000000000000000,4.500000000000000,7.100000000000000,4.897244728130000,1.080438055290000,61
119,,AR-0015,AR-0015a,Falla Pismanta-Las Flores,45-60,52.000000000000000,W,0.1-1.0,0.500000000000000,reverse,None,26.903770455785125,0.000000000000000,20.000000000000000,181.530257678113145,"57",1.000000000000000,35.899999999999999,4.500000000000000,8.010000000000000,3.759209981590000,0.819407933458000,27
122,,AR-0017,AR-0017i,Falla La Cantera,"20",20.000000000000000,W,0.1-1,0.500000000000000,reverse,None,21.936414198957831,0.000000000000000,20.000000000000000,204.434595700597612,"57",1.000000000000000,35.899999999999999,4.500000000000000,8.010000000000000,3.759209981590000,0.819407933458000,22
124,,AR-0019,AR-0019a,Falla Maradona-Acequion,"45",52.000000000000000,E,0.2-1,0.600000000000000,reverse,None,16.988367742855452,0.000000000000000,20.000000000000000,350.263382312390661,"57",1.000000000000000,35.899999999999999,4.500000000000000,8.010000000000000,3.759209981590000,0.819407933458000,17
125,,AR-0020,AR-0020a,Falla Las Tapias-Villicum,"80",72.000000000000000,E,"0.8",0.800000000000000,reverse,None,50.470201271762861,0.000000000000000,20.000000000000000,15.618314051728248,"57",1.000000000000000,35.899999999999999,4.500000000000000,8.010000000000000,3.759209981590000,0.819407933458000,50
135,,AR-0022,AR-0022e,Falla Rinconada,30-45,37.000000000000000,E,1-5,3.000000000000000,reverse,None,24.637208570333780,0.000000000000000,20.000000000000000,6.976071985641796,"57",1.000000000000000,35.899999999999999,4.500000000000000,8.010000000000000,3.759209981590000,0.819407933458000,25
137,,AR-0023,AR-0023b,Falla Los Berros,30-40,37.000000000000000,E,0.1-1.0,0.500000000000000,reverse,None,42.046897486137382,0.000000000000000,20.000000000000000,24.170683357598421,"57",1.000000000000000,35.899999999999999,4.500000000000000,8.010000000000000,3.759209981590000,0.819407933458000,42
138,,AR-0024,AR-0024a,Falla Cerro Salinas,15-25,20.000000000000000,E,0.1-1,0.500000000000000,reverse,None,33.546290588348590,0.000000000000000,20.000000000000000,20.796026279263572,"57",1.000000000000000,35.899999999999999,4.500000000000000,8.010000000000000,3.759209981590000,0.819407933458000,33
140,,AR-0025,AR-0025a,Falla Niquizanga,<45,37.000000000000000,SE,0.5-1,0.750000000000000,reverse,None,24.041537781328007,0.000000000000000,20.000000000000000,29.396206507157387,"58",2.000000000000000,35.600000000000001,4.500000000000000,8.000000000000000,4.514101465310000,0.935364072665000,24
142,,AR-0030,AR-0030a,Falla Cerro La Cal,30-45,37.000000000000000,W,1-5,3.000000000000000,reverse,None,97.744657440320509,0.000000000000000,20.000000000000000,172.337248631399149,"57",1.000000000000000,35.899999999999999,4.500000000000000,8.010000000000000,3.759209981590000,0.819407933458000,98
150,,AR-0050,AR-0050a,Falla El Molino,30-45,37.000000000000000,E,0.1-2,1.050000000000000,reverse,None,43.683007990359258,0.000000000000000,20.000000000000000,356.087225665288486,"59",0.000000000000000,35.000000000000000,4.500000000000000,7.510000000000000,4.224619942870002,0.935863664912000,44
152,,AR-0060,AR-0060a,Falla Zonda,"45",52.000000000000000,SE,0.1-1.0,0.500000000000000,reverse,None,25.606680814087824,0.000000000000000,20.000000000000000,12.567084911830818,"57",1.000000000000000,35.899999999999999,4.500000000000000,8.010000000000000,3.759209981590000,0.819407933458000,26
159,,AR-0268,AR-0268a,Grupo de fallas El Duraznillo,"45",52.000000000000000,W,0.01-0.1,0.055000000000000,reverse,None,30.669193263869509,0.000000000000000,20.000000000000000,203.973751758726593,"581",0.600000000000000,39.399999999999999,4.500000000000000,6.600000000000000,3.472260793500000,0.806057238671000,31
160,,AR-0005,AR-0005a,Falla Chumbicha,45-60,52.000000000000000,W,0.1-1,0.500000000000000,None,None,16.740463876650896,0.000000000000000,20.000000000000000,54.928548074003345,"581",0.600000000000000,39.399999999999999,4.500000000000000,6.600000000000000,3.472260793500000,0.806057238671000,17
