longitude,latitude,mag,kernel_r_km
-70.302,-36.31,5.3,92.38372695379584
-67.604,-22.218,5.0,36.01562376040931
-68.902,-31.152,5.0,37.19385686588387
-68.761,-24.316,5.0,48.106501680748316
-67.191,-29.028,5.0,52.25026774312537
-68.7,-20.14,5.7,34.16091879181915
-69.453,-23.641,5.4,37.49736914185577
-68.697,-20.705,5.0,34.81888249589826
-69.521,-24.38,5.4,36.811989139094266
-68.972,-22.361,5.0,36.63786366256196
-69.535,-27.776,5.4,46.14815169289638
-68.16,-31.82,5.2,44.77113249585292
-68.161,-21.645,5.1,34.678363324978534
-69.86,-17.42,5.3,37.23848780218887
-70.696,-34.849,5.1,42.408225191880845
-68.013,-23.007,5.0,41.093294976187764
-67.754,-23.818,5.3,38.57113116891317
-70.185,-19.118,5.0,36.4757112558989
-67.77,-31.48,5.9,52.256675837610985
-69.32,-32.84,5.1,66.61908156047272
-67.06,-31.574,5.0,49.303474235903735
-70.439,-28.049,5.0,46.21500284760619
-69.155,-22.337,5.3,41.718823774901786
-71.263,-40.005,5.0,112.15740331581894
-70.46,-32.56,5.3,42.01407418109754
-66.57,-21.74,5.3,38.30927844878705
-68.239,-22.027,5.1,38.938040998626164
-68.58,-21.4,5.3,28.054457742747005
-69.21,-32.04,5.4,40.55104379391116
-69.3,-17.62,5.3,30.02115671380904
-68.94,-31.52,5.4,32.768194404237555
-71.25,-38.28,5.9,113.9294173568746
-68.005,-21.059,5.0,35.482634042819754
-70.56,-34.78,5.2,44.59936695933839
-68.72,-22.93,5.9,33.421434826257304
-69.2,-20.27,5.8,36.458068309638804
-67.263,-27.68,5.1,38.445008360797544
