id,time_iso,longitude,latitude,depth,mag,mag_type,lon_error,lat_error,depth_error,mag_error,strike1,dip1,rake1,strike2,dip2,rake2,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,dups,class_raw,sub_depth,class
5556,1978/06/28,-70.127,-27.534,90.6,5.1,mw,,,5,0.1,134,30,-139,8,71,-66,-3.199e+16,-1.551e+16,4.75e+16,-6.84e+15,-4.245e+16,-1.926e+16,ISC-GEM,,slab_deep,65.8087005615,slab_deep
5557,1978/06/28,-69.92,-27.2,119.7,5.1,mw,0.18,0.11,8,,134,30,-139,8,71,-66,-3.199e+16,-1.551e+16,4.75e+16,-6.84e+15,-4.245e+16,-1.926e+16,GCMT,,slab_deep,73.0288543701,slab_deep
5577,1978/08/03,-70.4,-26.54,69.3,6.8,mw,0.02,0.02,0.8,,231,22,-57,15,72,-102,-1.498e+19,7.49e+18,7.49e+18,-1.6e+18,-1.749e+19,4.52e+18,GCMT,,intra_slab,46.6838722229,intra_slab
5584,1978/08/21,-67.773,-31.271,10,6,mw,,,,,218,9,79,49,81,92,5.104e+16,-2.207e+16,-2.897e+16,8.357e+16,7.066e+16,2.5e+15,USGS,,backarc,,unclassified
5585,1978/08/21,-68.11,-31.79,25,5.3,mw,0.11,0.12,0,,218,9,79,49,81,92,5.104e+16,-2.207e+16,-2.897e+16,8.357e+16,7.066e+16,2.5e+15,GCMT,,backarc,,unclassified
5618,1978/10/27,-66.03,-21.86,299.6,5.8,mw,0.04,0.04,1.8,,134,24,-126,353,71,-75,-3.359e+17,1.07e+16,3.252e+17,1.98e+16,-4.437e+17,-1.895e+17,GCMT,,slab_deep,231.368728638,slab_deep
5646,1978/12/21,-72.463,-36.286,47,6.1,mw,,,,,101,34,52,324,64,112,5.478e+17,-4.288e+17,-1.19e+17,-1.293e+17,4.274e+17,2.866e+17,USGS,,forearc,49.9037818909,forearc
5647,1978/12/21,-72.57,-36.4,50,5.8,mw,0.05,0.03,0,,101,34,52,324,64,112,5.478e+17,-4.288e+17,-1.19e+17,-1.293e+17,4.274e+17,2.866e+17,GCMT,,intra_slab,47.6234703064,intra_slab
5649,1978/12/24,-69.815,-20.024,48,5.8,mw,,,,,344,34,82,173,57,95,7.32e+16,1.329e+16,-8.648e+16,1.29e+15,-3.453e+16,2e+16,USGS,,slab_deep,60.9875144958,slab_deep
5650,1978/12/24,-70.86,-20.18,39.5,5.2,mw,0.06,0.09,5.4,,344,34,82,173,57,95,7.32e+16,1.329e+16,-8.648e+16,1.29e+15,-3.453e+16,2e+16,GCMT,,intra_slab,20.7109947205,intra_slab
