site,domain,level,poe
puerto_montt,total,0.05659154009729356,0.0781145449901465
puerto_montt,total,0.07055858001600415,0.058597881846252135
puerto_montt,total,0.08797274655037983,0.043502189341041955
puerto_montt,total,0.10968480564464235,0.03205131037770772
puerto_montt,total,0.13675549600367723,0.023488952712443997
puerto_montt,total,0.17050735128986647,0.017139441707014348
puerto_montt,total,0.21258931226503822,0.012443786213760908
puerto_montt,total,0.2650572854919946,0.00896637424334913
puerto_montt,total,0.3304745842763549,0.006385310100921202
puerto_montt,total,0.412037158872693,0.004469528516428912
puerto_montt,total,0.513729734053947,0.0030560523906700836
puerto_montt,total,0.6405204821167169,0.0020283163285121177
puerto_montt,total,0.7986037420367598,0.0012986064361492026
puerto_montt,total,0.9957026427749722,0.0007969826902646677
puerto_montt,total,1.2414464153405262,0.00046575673739698636
puerto_montt,total,1.547840827123473,0.00025727526985428985
puerto_montt,total,1.92985472148076,0.00013295096566580462
puerto_montt,total,2.4061513178605933,6.328520569568351e-05
puerto_montt,total,3.0,2.6864039302517992e-05
puerto_aysen,total,0.005,0.29442292359776323
puerto_aysen,total,0.006234021895737255,0.2585157799777111
puerto_aysen,total,0.007772605799306304,0.22495747807302982
puerto_aysen,total,0.009690918947961973,0.1941513532253215
puerto_aysen,total,0.012082680182281997,0.16631469769292745
puerto_aysen,total,0.015064738563107317,0.14150280850840494
puerto_aysen,total,0.01878278201119368,0.11964056416446103
puerto_aysen,total,0.023418454864128246,0.10055747392340567
puerto_aysen,total,0.02919823207746202,0.08401754307888906
puerto_aysen,total,0.036404483617543226,0.06975062050389823
puerto_aysen,total,0.04538926959495454,0.05747288624158827
puerto_aysen,total,0.05659154009729356,0.046911561679677125
puerto_aysen,total,0.07055858001600415,0.037830667456710924
puerto_aysen,total,0.08797274655037983,0.03004676937425829
puerto_aysen,total,0.10968480564464235,0.023429928169690507
puerto_aysen,total,0.13675549600367723,0.01788626081369585
puerto_aysen,total,0.17050735128986647,0.013332111884612828
puerto_aysen,total,0.21258931226503822,0.009674006178614945
puerto_aysen,total,0.2650572854919946,0.006803210233219944
puerto_aysen,total,0.3304745842763549,0.004605698836528788
puerto_aysen,total,0.412037158872693,0.0029738017001889575
puerto_aysen,total,0.513729734053947,0.0018108734169807101
puerto_aysen,total,0.6405204821167169,0.0010270754239959843
puerto_aysen,total,0.7986037420367598,0.0005357499874917038
puerto_aysen,total,0.9957026427749722,0.0002536229366022439
puerto_aysen,total,1.2414464153405262,0.00010673563467957189
puerto_aysen,total,1.547840827123473,3.8239558788318837e-05
puerto_aysen,total,1.92985472148076,1.048850723011406e-05
puerto_aysen,total,2.4061513178605933,1.7198165414787322e-06
puerto_aysen,total,3.0,4.345071530796264e-08
iquique,Interface,0.005,0.3662084785103798
iquique,Interface,0.006234021895737255,0.3322044417262078
iquique,Interface,0.007772605799306304,0.29805430084466933
iquique,Interface,0.009690918947961973,0.26430001199245456
iquique,Interface,0.012082680182281997,0.2314832302927971
iquique,Interface,0.015064738563107317,0.2001235291361809
iquique,Interface,0.01878278201119368,0.17069242045283317
iquique,Interface,0.023418454864128246,0.1435878197848797
iquique,Interface,0.02919823207746202,0.1191108387708664
iquique,Interface,0.036404483617543226,0.09744972683489322
iquique,Interface,0.04538926959495454,0.07866987004876137
iquique,Interface,0.05659154009729356,0.06271810494363309
iquique,Interface,0.07055858001600415,0.049435003176331524
iquique,Interface,0.08797274655037983,0.0385760784894228
iquique,Interface,0.10968480564464235,0.029841635823249817
iquique,Interface,0.13675549600367723,0.022909828051924708
iquique,Interface,0.17050735128986647,0.017462946623563767
