longitude,latitude,mag,kernel_r_km
-72.136,-36.002,4.6,53.83771958081277
-70.066,-23.759,4.4,82.94138109394137
-70.994,-27.44,4.4,101.82943009145268
-71.713,-30.166,4.5,52.58544582223736
-66.739,-24.34,4.5,148.48674815992527
-70.61,-21.751,4.6,117.83970622723947
-71.279,-27.243,4.4,132.9343268609387
-72.64,-34.234,4.9,103.72668310573616
-72.726,-41.291,5.0,104.88706878399002
-71.126,-29.549,4.8,75.82724338309201
-70.307,-30.636,4.6,94.96980738416406
-69.335,-19.578,4.8,67.9175324463897
-71.41,-18.412,4.7,76.38760371106713
-70.513,-17.938,4.4,64.88552261845915
-72.517,-38.583,4.5,71.27594613679915
-69.763,-25.689,4.7,67.42368146105431
-71.197,-30.227,5.6,60.19104925029178
-71.221,-32.155,4.9,64.98792635285429
-71.932,-31.918,6.1,51.538714294179556
-71.732,-32.549,4.5,37.157564127110426
-71.693,-31.172,6.4,57.973442011860655
-71.465,-29.703,4.4,63.72945983920698
-70.376,-29.784,5.3,99.92171413565728
-71.683,-30.03,4.7,57.09558293600395
-71.723,-17.403,4.5,69.17515987215076
-71.515,-18.501,4.6,80.93623174334947
-69.26,-23.05,4.4,84.82121995700122
-70.103,-24.223,4.4,88.78418227881151
-73.417,-38.808,4.9,82.31917791549522
-70.0,-29.47,4.5,112.72976101250364
-66.817,-27.382,4.8,227.68560944759068
-70.149,-18.408,5.1,68.94337172523065
-67.115,-32.788,4.7,209.0365339553225
-69.621,-21.272,4.5,50.30055719549813
-72.389,-37.025,4.5,85.91750231588772
-69.747,-20.737,4.9,83.66161533071104
-71.035,-24.678,4.5,112.07134735190319
-71.892,-30.402,4.6,47.84224096758136
-70.371,-17.817,4.4,66.79695652421577
-69.91,-17.42,4.5,56.27125104384485
-69.366,-18.929,4.4,67.2382814567905
-71.341,-30.691,4.7,55.45389043032771
-71.854,-29.973,4.8,65.71759099502873
-71.261,-17.507,4.6,49.86436242403775
-71.891,-35.613,4.8,68.39013395746716
-68.726,-33.469,4.5,100.98975661500138
-71.774,-32.568,5.2,37.3478419592552
-70.449,-17.937,4.6,70.12716173328954
-70.633,-31.753,5.1,99.39954048046782
-73.817,-39.729,4.4,126.34207163522949
-70.109,-19.521,4.4,43.30462115523371
-71.608,-30.398,4.9,49.052507652701074
-70.71,-25.642,4.4,69.32982093730293
-72.201,-37.431,4.4,80.586313572344
